Player,Team,Pos,GP,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,W%
ZaZee,SK Gaming,3,18,0.44,60,39,102,4.20,0.75,0.28,0.18,0.11,-39,-71,-1.8,9.10,0.28,452,0.26,285,0.26,0.43,0.18,0.50
Agresivoo,Misfits Premier,1,17,0.44,39,36,87,3.50,0.55,0.17,0.18,0.12,132,160,4.9,8.10,0.25,364,0.20,270,0.24,0.42,0.14,0.59
Backlund,IZI Dream,3,16,0.44,57,26,87,5.50,0.67,0.27,0.13,0.06,-130,-171,-4.7,8.20,0.27,542,0.31,251,0.24,0.38,0.16,0.50
Bando,LDLC OL,1,14,0.43,35,67,123,2.40,0.65,0.14,0.26,0.14,-42,-22,4.3,6.70,0.21,562,0.23,242,0.20,0.3,0.09,0.57
bluerzor,GamersOrigin,2,15,0.71,54,39,133,4.80,0.71,0.21,0.23,0.47,41,10,0.7,5.70,0.17,353,0.16,219,0.19,0.5,0.37,0.80
Darlik,Team MCES,1,9,0.22,25,36,30,1.50,0.56,0.26,0.23,0.22,-190,-237,-10.4,6.60,0.24,382,0.21,209,0.21,0.39,0.1,0.22
Decay,Team MCES,2,1,0.00,3,3,0,1.00,0.27,0.27,0.13,0.00,675,-141,16,8.70,0.33,257,0.20,225,0.25,0.38,0.11,0.00
Decay,Team MCES,3,13,0.62,43,37,44,2.40,0.64,0.31,0.17,0.15,23,-18,-2,8.40,0.27,522,0.28,257,0.26,0.46,0.2,0.15
Djoko,Team MCES,2,12,0.58,24,40,62,2.20,0.69,0.19,0.20,0.25,90,303,6.4,5.60,0.17,303,0.16,184,0.19,0.28,0.38,0.17
Djoko,Team MCES,3,1,1.00,0,7,4,0.60,0.36,0.00,0.29,0.00,-1790,-1740,-72,1.70,0.05,68,0.05,79,0.09,0.73,0.15,0.00
dreamsu,Solary,4,15,0.53,32,40,102,3.40,0.70,0.17,0.17,0.13,-360,-278,-17.5,7.10,0.24,440,0.23,233,0.22,0.64,0.29,0.33
Enjawve,GameWard,5,18,0.44,23,74,176,2.70,0.68,0.08,0.22,0.17,82,108,1.3,1.10,0.04,210,0.09,112,0.10,1.46,0.4,0.56
Exakick,LDLC OL,4,14,0.50,79,53,91,3.20,0.69,0.32,0.20,0.14,-298,-276,1.2,7.90,0.27,608,0.24,290,0.25,0.44,0.26,0.57
Eyliph,IZI Dream,1,16,0.50,49,41,94,3.50,0.67,0.23,0.20,0.31,-135,-151,-7.4,7.00,0.24,372,0.21,232,0.22,0.51,0.16,0.50
Fraid,Solary,1,15,0.47,36,56,91,2.30,0.66,0.19,0.24,0.07,-178,-292,0.1,6.40,0.20,416,0.23,211,0.21,0.36,0.16,0.33
Frappii,Team MCES,4,9,0.56,14,30,51,2.20,0.66,0.14,0.19,0.11,102,144,2.4,8.60,0.32,579,0.30,267,0.27,0.41,0.17,0.22
Hantera,Solary,5,15,0.40,14,43,130,3.30,0.75,0.07,0.18,0.27,15,19,5.2,1.40,0.05,171,0.09,105,0.10,1.42,0.28,0.33
Hustlin,GamersOrigin,5,15,0.43,19,51,161,3.50,0.68,0.07,0.30,0.40,96,166,3.1,1.20,0.03,209,0.09,110,0.10,1.23,0.42,0.80
Jezu,Misfits Premier,4,17,0.38,68,41,103,4.20,0.75,0.30,0.20,0.29,-47,35,-3.2,8.20,0.27,527,0.28,265,0.23,0.37,0.22,0.59
Karimkt,GameWard,2,18,0.44,58,75,143,2.70,0.68,0.20,0.22,0.28,8,-142,-4.9,5.00,0.17,365,0.15,198,0.18,0.54,0.28,0.56
Kikis,Team MCES,1,4,0.50,9,18,10,1.10,0.44,0.21,0.27,0.25,-314,-184,-7.5,6.80,0.22,357,0.20,211,0.21,0.42,0.2,0.00
Kirei,Misfits Premier,2,17,0.63,30,46,145,3.80,0.77,0.13,0.23,0.24,-201,-133,-3.4,5.50,0.15,335,0.18,191,0.17,0.44,0.34,0.59
Lingwi,Team MCES,1,1,0.00,0,3,4,1.30,0.57,0.00,0.16,0.00,-294,-301,-11,6.30,0.17,353,0.20,160,0.17,0.57,0.11,0.00
Lucker,Vitality.Bee,4,15,1.00,71,40,103,4.40,0.69,0.28,0.22,0.40,266,111,3.3,9.60,0.33,606,0.30,318,0.28,0.28,0.27,0.47
Manaty,Solary,2,15,0.53,33,56,94,2.30,0.66,0.17,0.24,0.27,-139,-258,-1.5,5.90,0.21,321,0.18,199,0.20,0.54,0.45,0.33
